,city,date,meeting,url,doc_type
83,San Mateo,2021-03-01 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12724,Agenda
84,San Mateo,2021-03-01 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12725,Packet
85,San Mateo,2021-03-01 17:30:00,City Council Special Meeting,https://youtube.com/watch?v=iTR2rYO0WXo,Video
86,San Mateo,2021-02-27 08:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12569,Agenda
87,San Mateo,2021-02-22 08:15:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12547,Agenda
88,San Mateo,2021-02-18 18:00:00,Measure S Oversight Committee Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12511,Agenda
89,San Mateo,2021-02-18 18:00:00,Measure S Oversight Committee Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12514,Packet
90,San Mateo,2021-02-18 18:00:00,Measure S Oversight Committee Regular Meeting,https://youtube.com/watch?v=gS4Jok0z554,Video
91,San Mateo,2021-02-17 19:00:00,Cancelled- Community Relations Commission,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12367,Agenda
92,San Mateo,2021-02-16 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12707,Agenda
93,San Mateo,2021-02-16 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12694,Packet
94,San Mateo,2021-02-16 19:00:00,City Council Regular Meeting,https://youtube.com/watch?v=RYUEojl7ew0,Video
95,San Mateo,2021-02-16 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12691,Agenda
96,San Mateo,2021-02-16 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12692,Packet
97,San Mateo,2021-02-16 17:30:00,City Council Special Meeting,https://youtube.com/watch?v=yo1eryZeP6Q,Video
98,San Mateo,2021-02-10 19:00:00,Sustainability & Infrastructure Commission Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12446,Agenda
99,San Mateo,2021-02-10 19:00:00,Sustainability & Infrastructure Commission Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12447,Packet
100,San Mateo,2021-02-10 19:00:00,Sustainability & Infrastructure Commission Meeting,https://youtube.com/watch?v=Dtg6AXfBztI,Video
101,San Mateo,2021-02-09 19:00:00,Planning Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12354,Agenda
102,San Mateo,2021-02-09 19:00:00,Planning Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12380,Packet
103,San Mateo,2021-02-09 19:00:00,Planning Commission Regular Meeting,https://youtube.com/watch?v=Cxh5HtwNWxE,Video
104,San Mateo,2021-02-08 17:45:00,Appointment Subcommittee - Library Board,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12344,Agenda
105,San Mateo,2021-02-03 19:00:00,Park and Recreation Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12209,Agenda
106,San Mateo,2021-02-03 19:00:00,Park and Recreation Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12345,Packet
107,San Mateo,2021-02-01 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12704,Agenda
108,San Mateo,2021-02-01 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12705,Packet
109,San Mateo,2021-02-01 19:00:00,City Council Regular Meeting,https://youtube.com/watch?v=imLwLX_Vr60,Video
110,San Mateo,2021-02-01 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12264,Agenda
111,San Mateo,2021-02-01 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12265,Packet
112,San Mateo,2021-02-01 17:30:00,City Council Special Meeting,https://youtube.com/watch?v=cvuZctFn52g,Video
113,San Mateo,2021-01-30 09:00:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12238,Agenda
114,San Mateo,2021-01-30 09:00:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12241,Packet
115,San Mateo,2021-01-30 09:00:00,City Council Special Meeting,https://youtube.com/watch?v=I7Q33Tllb_E,Video
116,San Mateo,2021-01-27 17:30:00,Appointment Subcommittee - Community Relations Committee,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12098,Agenda
117,San Mateo,2021-01-26 19:00:00,Planning Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12070,Agenda
118,San Mateo,2021-01-26 19:00:00,Planning Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12073,Packet
119,San Mateo,2021-01-26 19:00:00,Planning Commission Regular Meeting,https://youtube.com/watch?v=Q8ZQomaNzN4,Video
120,San Mateo,2021-01-26 18:00:00,Planning Commission Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12247,Agenda
